logFC	AveExpr	t	P.Value	adj.P.Val	B	name	dir	comparison
1.02523182584688	6.48929637600431	3.04353430120867	0.00365714854041366	0.633572271807317	-3.55743436912084	ENSG00000076770	up	groupA-groupB
1.17517233683085	5.98312899347395	2.35289625113229	0.0224323177703253	0.633572271807317	-4.10099471684517	ENSG00000078018	up	groupA-groupB
1.20560821749903	5.74899301515502	2.19117124522004	0.0329274364991461	0.633572271807317	-4.20951806201388	ENSG00000018236	up	groupA-groupB
1.01928815269142	9.28840008272922	1.7017034214395	0.0947629280801943	0.708921648215701	-4.24538856036361	ENSG00000060718	up	groupA-groupB
1.57933883168261	3.79582220098414	2.58677833727375	0.0125148603829099	0.633572271807317	-4.25531060386666	ENSG00000047597	up	groupA-groupB
1.3194416137143	4.22760010913048	2.3436498227376	0.0229401630295483	0.633572271807317	-4.29525653951171	ENSG00000066382	up	groupA-groupB
1.35891579007999	3.95355073573394	2.37408970171096	0.021306052851058	0.633572271807317	-4.3041690026053	ENSG00000050030	up	groupA-groupB
1.12921377245034	5.61736294376875	1.9634186653108	0.0549367966015139	0.667500031909898	-4.31636485678337	ENSG00000091129	up	groupA-groupB
1.06455747174596	6.6554320276692	1.7016761821305	0.0947680726808805	0.708921648215701	-4.34338891334092	ENSG00000050438	up	groupA-groupB
1.28577680534944	1.8514598265646	2.57549874012667	0.0128817658202108	0.633572271807317	-4.36744117582091	ENSG00000055813	up	groupA-groupB
1.48303889867231	3.08054744680745	2.12233631681004	0.0385747414077553	0.646204953664505	-4.4097904138239	ENSG00000075886	up	groupA-groupB
1.01843335878016	3.24451100445239	2.03273552549499	0.0471819349168003	0.654604613949849	-4.42222108392558	ENSG00000047662	up	groupA-groupB
1.13812292586766	1.04254416375129	2.34840361692041	0.0226777991175038	0.633572271807317	-4.43557685740304	ENSG00000080644	up	groupA-groupB
1.27207491064163	4.92028894970683	1.62792486298922	0.109564718802565	0.708921648215701	-4.46346450668968	ENSG00000067715	up	groupA-groupB
1.62447214289592	0.886219444110064	1.84951502396022	0.0700508917306723	0.708921648215701	-4.50970763898602	ENSG00000089199	up	groupA-groupB
1.19296292031877	6.29611810804931	1.23331006639881	0.222987115824737	0.745618492596516	-4.54822293713632	ENSG00000022556	up	groupA-groupB
1.02514140800982	2.17834114001002	1.33197768222504	0.188656338542658	0.744857865182974	-4.56097548369007	ENSG00000079841	up	groupA-groupB
1.06757390504003	5.88727173194152	1.04122334956855	0.302572343363102	0.797565312283155	-4.6021337586319	ENSG00000019505	up	groupA-groupB
1.00111179106185	6.60186026271662	0.835137354796196	0.407447971734773	0.860143051434751	-4.67112104790589	ENSG00000008196	up	groupA-groupB
-1.09118656474518	6.99172364034863	-2.08603509941022	0.041881094722944	0.654604613949849	-4.08881412524239	ENSG00000062282	down	groupA-groupB
-1.15111146328921	4.46611685055733	-2.72053726588534	0.0088342116948794	0.633572271807317	-4.15469877216213	ENSG00000008516	down	groupA-groupB
-1.49826473334536	5.71996136769831	-2.15933278327294	0.0354421728740225	0.646204953664505	-4.22811736018758	ENSG00000064886	down	groupA-groupB
-1.20277327574906	4.67622674225052	-2.11715479404659	0.0390322644219918	0.646204953664505	-4.33427479499437	ENSG00000007908	down	groupA-groupB
-1.53611937255848	1.16542502070589	-2.45472016118138	0.0174701323216861	0.633572271807317	-4.4148307552203	ENSG00000043591	down	groupA-groupB
-1.414299668153	5.3747775430993	-1.45188890303023	0.152518993064786	0.734670569257467	-4.4985762195623	ENSG00000074211	down	groupA-groupB
